[2025-11-25 09:44:23,972] DEBUG attendance:135 — Attendance session created for user_id=1 session_id=63bda589-6455-4b99-9e16-7901ce38a43a
[2025-11-25 09:44:23,987] DEBUG attendance:234 — CurrentStatus requested by user_id=1 username=ankit
[2025-11-25 09:44:36,676] INFO attendance:269 — DailyCSVExport requested by user_id=1
[2025-11-25 09:44:48,942] INFO attendance:150 — ToggleBreak called by user_id=1 username=ankit
[2025-11-25 09:44:48,943] DEBUG attendance:180 — Break started for user_id=1 session_id=63bda589-6455-4b99-9e16-7901ce38a43a
[2025-11-25 09:44:48,949] DEBUG attendance:234 — CurrentStatus requested by user_id=1 username=ankit
[2025-11-25 09:44:54,193] INFO attendance:269 — DailyCSVExport requested by user_id=1
[2025-11-25 09:45:36,370] INFO attendance:150 — ToggleBreak called by user_id=1 username=ankit
[2025-11-25 09:45:36,371] DEBUG attendance:169 — Break ended for user_id=1 session_id=63bda589-6455-4b99-9e16-7901ce38a43a
[2025-11-25 09:45:36,380] DEBUG attendance:234 — CurrentStatus requested by user_id=1 username=ankit
[2025-11-25 09:45:52,494] INFO attendance:194 — EndAttendance called by user_id=1 username=ankit
[2025-11-25 09:45:52,494] DEBUG attendance:211 — Attendance ended for user_id=1 session_id=63bda589-6455-4b99-9e16-7901ce38a43a
[2025-11-25 09:46:03,566] DEBUG attendance:234 — CurrentStatus requested by user_id=1 username=ankit
[2025-11-25 09:46:03,571] DEBUG attendance:234 — CurrentStatus requested by user_id=1 username=ankit
[2025-11-25 09:46:03,584] DEBUG attendance:234 — CurrentStatus requested by user_id=1 username=ankit
[2025-11-25 09:46:08,269] INFO attendance:269 — DailyCSVExport requested by user_id=1
[2025-11-25 09:47:06,781] INFO attendance:371 — Register attempt username=aadd
[2025-11-25 09:47:07,626] INFO attendance:387 — User created id=4 username=aadd
[2025-11-25 09:47:37,378] DEBUG attendance:234 — CurrentStatus requested by user_id=4 username=aadd
[2025-11-25 09:47:37,383] DEBUG attendance:234 — CurrentStatus requested by user_id=4 username=aadd
[2025-11-25 09:47:37,394] DEBUG attendance:234 — CurrentStatus requested by user_id=4 username=aadd
[2025-11-25 09:47:38,646] INFO attendance:107 — StartAttendance called by user_id=4 username=aadd
[2025-11-25 09:47:38,647] DEBUG attendance:132 — Appended session 7a1ab37a-a657-4e19-b443-cd99c618cf61 for user 4; sessions_count=1
[2025-11-25 09:47:38,648] DEBUG attendance:135 — Attendance session created for user_id=4 session_id=7a1ab37a-a657-4e19-b443-cd99c618cf61
[2025-11-25 09:47:38,657] DEBUG attendance:234 — CurrentStatus requested by user_id=4 username=aadd
[2025-11-25 09:47:58,498] DEBUG attendance:234 — CurrentStatus requested by user_id=1 username=ankit
[2025-11-25 09:47:58,502] DEBUG attendance:234 — CurrentStatus requested by user_id=1 username=ankit
[2025-11-25 09:47:58,512] DEBUG attendance:234 — CurrentStatus requested by user_id=1 username=ankit
[2025-11-25 09:48:02,346] INFO attendance:269 — DailyCSVExport requested by user_id=1
